obj,running_time,gap
53392.36556021602,2.2653132,0.0
52727.28141366823,4.2446353,0.0
52705.34263965879,3.3655157,0.0
52609.20622453674,4.0614733,0.0
52700.366476890136,4.3692561,0.0
52913.64294355908,3.8597255,0.0
52558.696454205514,6.0382472,0.0
52455.25077159369,4.2116695,0.0
53107.31914500162,3.7679783,0.0
52631.4456567027,3.5044372,0.0
53011.52024933941,4.0579337,0.0
52530.30559599807,4.8135505,0.0
52600.10442107215,3.8901586,0.0
52761.82693304052,4.0570107,0.0
52730.42860398441,3.6197875,0.0
53170.302956337844,2.6341296,0.0
52947.48748251798,3.3079203,0.0
53553.1515359131,2.6376589,0.0
53162.0687839327,3.3135075,0.0
52117.31510179624,3.9088779,0.0
52499.05050262053,4.4528304,0.0
52670.253176916216,3.9045355,0.0
53256.93584713319,2.6359127,0.0
53564.76716664454,1.8829235,0.0
52610.54382583029,4.059573,0.0
52588.00286122796,4.3427998,0.0
53237.906298210866,2.9044383,0.0
52108.90589368411,6.7417374,0.0
52847.78914681949,2.6995038,0.0
52801.69292896059,3.4410302,0.0
