obj,running_time,gap
25469.403737323104,2.2710854,0.0
25857.11511345868,1.5395091,0.0
25602.232800809965,1.7799433,0.0
25798.885472878428,1.5997339,0.0
25155.47013667075,2.5232548,0.0
25561.18184377424,1.9929065,0.0
25647.11049083284,2.4289863,0.0
25553.922834729387,2.1532919,0.0
25524.093871818877,2.2339511,0.0
26000.469039949363,1.6547924,0.0
26189.6527601489,1.5718096,0.0
25297.24009495975,2.3941134,0.0
25555.80847656078,1.4948633,0.0
25385.60035450889,2.0325328,0.0
25650.307875661652,2.0847919,0.0
25458.43926499017,2.4725359,0.0
25258.572013313296,2.5182405,0.0
25348.413567312105,2.3444168,0.0
25960.0678581387,2.0152685,0.0
25942.627008122774,1.410687,0.0
25733.599307120123,2.022548,0.0
25593.72718581446,2.2292812,0.0
25646.560217917497,2.7018825,0.0
26070.24292920338,1.5700379,0.0
25580.581732910476,1.8693245,0.0
25365.925515239862,2.2257031,0.0
25623.477601293034,2.7008843,0.0
25783.480581391952,1.8914902,0.0
25245.648799133098,3.4112106,0.0
25374.380480333457,2.8641238,0.0
