obj,running_time,gap
103329.67687075051,8.9186055,0.0
103411.33038381276,5.2800592,0.0
103388.53793020117,5.9699678,0.0
103004.24918833864,7.9611018,0.0
103680.9045323768,5.4154958,0.0
103466.21973236864,7.9188025,0.0
102373.15322067497,9.1464893,0.0
103403.17293153895,5.0999194,0.0
103302.78345451373,6.4165371,0.0
103620.16315456224,5.0392162,0.0
103389.2624853937,6.2062758,0.0
103116.64047106217,7.3295117,0.0
103540.83091677004,6.098462,0.0
102738.00434943859,6.2840642,0.0
102840.86168143018,9.3129439,0.0
103149.22598767422,6.7515267,0.0
103463.4205979782,7.1613899,0.0
103514.54734349389,6.1270765,0.0
103060.51435356452,8.3721713,0.0
103504.06916445117,4.7241222,0.0
102901.70369751379,7.0243512,0.0
103286.43266893561,5.0363659,0.0
102964.6909842405,9.1186238,0.0
103406.27587310903,7.283024,0.0
103386.74126700246,3.2748442,0.0
103448.70819160505,6.402163,0.0
102909.2139457819,7.0272501,0.0
103323.24753480311,6.3681484,0.0
103306.79952970768,6.3280218,0.0
102807.49419359062,6.791548,0.0
