obj,running_time,gap
5642.528620820982,0.1919615,0.0
5642.528620820982,0.1887033,0.0
5642.528620820982,0.1844431,0.0
5642.528620820982,0.1871536,0.0
5642.528620820982,0.1842431,0.0
5642.528620820982,0.1871819,0.0
5642.528620820982,0.2211817,0.0
5642.528620820982,0.2043521,0.0
5642.528620820982,0.210343,0.0
5642.528620820982,0.2155415,0.0
5642.528620820982,0.2030881,0.0
5642.528620820982,0.2217385,0.0
5642.528620820982,0.2023843,0.0
5642.528620820982,0.2047377,0.0
5642.528620820982,0.2041595,0.0
5642.528620820982,0.2582787,0.0
5642.528620820982,0.2135648,0.0
5642.528620820982,0.1979616,0.0
5642.528620820982,0.2140784,0.0
5642.528620820982,0.2119222,0.0
5642.528620820982,0.2044967,0.0
5642.528620820982,0.2486442,0.0
5642.528620820982,0.2011244,0.0
5642.528620820982,0.2029432,0.0
5642.528620820982,0.1987574,0.0
5642.528620820982,0.2334824,0.0
5642.528620820982,0.2282061,0.0
5642.528620820982,0.2089803,0.0
5642.528620820982,0.2355119,0.0
5642.528620820982,0.2461651,0.0
