obj,running_time,gap
57587.29036239576,4.3939981,0.0
57202.63584625311,4.2220619,0.0
57678.29851957631,4.3323129,0.0
57931.67147586141,4.5657172,0.0
57010.859727558025,4.926656,0.0
57185.368575335284,4.1636044,0.0
57871.9104572095,3.3823357,0.0
57914.886505760864,2.7298022,0.0
57960.45825172397,3.5059795,0.0
57384.68739188168,4.5184616,0.0
57323.971330985034,5.6029339,0.0
57940.048004155426,3.4876933,0.0
57475.10077913603,3.4833457,0.0
57536.64211045582,3.6320505,0.0
58195.176081784906,3.2013585,0.0
58464.791313856316,2.0154647,0.0
58010.181920503324,3.3208618,0.0
58118.17829219578,3.3345366,0.0
57960.92368446933,3.1318706,0.0
57417.52663622753,4.1561839,0.0
56869.723904826504,5.7639259,0.0
57579.225315942575,3.8973015,0.0
58445.46732237162,4.4673329,0.0
57182.27488128639,4.4444551,0.0
57953.17675765319,2.6736668,0.0
57945.42504314748,2.5362066,0.0
57633.93870850787,4.2018604,0.0
57320.69621038192,3.7638573,0.0
57633.608387787994,3.3193244,0.0
57127.96913376587,5.379316,0.0
